Vendor ID,Product ID,Driver,Base layout,Laptop,Event count
093A,300C,ASUP,up5401ea,ASUS Zenbook 14 UX3405MA_UX3405MA,71
04F3,31B9,ASUE,up5401ea,Zenbook UX3402ZA_UX3402ZA,60
04F3,31B9,ASUE,up5401ea,Zenbook UX3402VA_UX3402VA,50
04F3,31B9,ASUE,up5401ea,Zenbook UP5401EA_UP5401EA,42
04F3,31B9,ASUE,up5401ea,Zenbook UM3402YAR_UM3402YA,32
04F3,31B9,ASUE,up5401ea,Zenbook UX3404VA_Q420VA,26
04F3,3134,ASUE,up5401ea,ZenBook UX325EA_UX325EA,16
093A,200B,ASUP,e210ma,Vivobook_ASUSLaptop X1404ZA_X1404ZA,15
04F3,31B9,ASUE,up5401ea,Zenbook UM5401QAB_UM5401QA,15
04F3,31B9,ASUE,up5401ea,Zenbook UX3404VC_UX3404VC,15
04F3,31B9,ASUE,up5401ea,Zenbook UM3402YA_UM3402YA,14
04F3,3134,ASUE,up5401ea,ZenBook UX425EA_UX425EA,13
04F3,31B9,ASUE,up5401ea,Zenbook UX3404VA_UX3404VA,12
04F3,31B9,ASUE,up5401ea,Zenbook UX3404VA_Q410VA,11
2808,0108,ASUF,g533,ROG Strix G614JI_G614JI,10
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop E210MAB_E210MA,10
04F3,3134,ASUE,up5401ea,ZenBook UX425QA_UM425QA,9
04F3,31BC,ASUE,up5401ea,Vivobook_ASUSLaptop M3401QA_M3401QA,9
04F3,31B9,ASUE,up5401ea,Zenbook UN5401QAB_UN5401QA,8
04F3,31C1,ASUE,b7402,Zenbook 15 UM3504DA_UM3504DA,8
04F3,31B9,ASUE,up5401ea,Zenbook UN5401RA UN5401RA_UN5401RA,8
2808,0108,ASUF,g533,ROG Strix G16 G614JIR_G614JIR,7
04F3,30DF,ELAN,g513,ROG Strix G531GT_G531GT,7
04F3,31B9,ASUE,,Zenbook UP5401EA_UP5401EA,6
093A,200B,ASUP,e210ma,Vivobook Go E1404FA_E1404FA,6
04F3,3134,ASUE,up5401ea,ASUS EXPERTBOOK B9400CEA_B9400CEA,6
04F3,3134,ASUE,up5401ea,ZenBook UX363EA_UX363EA,6
04F3,31BC,ASUE,up5401ea,Vivobook_ASUSLaptop TP3402VA_TP3402VA,6
04F3,31B9,ASUE,up5401ea,Zenbook Flip UP3404VA_UP3404VA,6
04F3,3157,ASUE,e210ma,VivoBook_ASUS Laptop E210MA_L210MA,5
04F3,3157,ASUE,e210ma,VivoBook_ASUS Laptop E410MA_E410MA,5
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop E410MAB_E410MA,5
093A,300D,ASUP,up5401ea,ASUS Zenbook 14 UX3405MA_UX3405MA,5
04F3,31C1,ASUE,up5401ea,Zenbook UX3402ZA_UX3402ZA,5
04F3,3157,ASUE,e210ma,VivoBook_ASUS Laptop E210MA_E210MA,4
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop E210KA_E210KA,4
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop E410KA_E410KA,4
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop X415JAB_R465JA,4
04F3,3275,ASUE,g533,ROG Strix G614JV_G614JV,4
2808,0108,ASUF,g533,ROG Strix G634JZ_G634JZ,4
04F3,310D,ASUE,up5401ea,ZenBook UX434DA_UM433DA,4
04F3,310D,ASUE,up5401ea,ZenBook UX434FAC_UX433FAC,4
04F3,3134,ASUE,up5401ea,ZenBook UX425UA_UM425UA,4
04F3,3134,ASUE,up5401ea,ZenBook UX435EG_UX435EG,4
04F3,3145,ASUE,up5401ea,VivoBook_ASUSLaptop TP420IA_TM420IA,4
04F3,31B9,ASUE,up5401ea,Zenbook UP5401ZA_UP5401ZA,4
04F3,30DC,ELAN,ux433fa,ZenBook UX433FA_UX433FA,4
04F3,32A2,ASUE,gx551,ROG Zephyrus Duo 16 GX650PZ_GX650PZ,4
04F3,31BC,ASUE,up5401ea,Vivobook ASUSLaptop TP3402ZA_TP3402ZA,4
04F3,30E2,ELAN,ux433fa,ProArt StudioBook W700G3T_W700G3T,4
04F3,3230,ASUE,b7402,ASUS EXPERTBOOK B5402FBA_B5402FBA,3
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop E410MAB_L410MA,3
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop X415JAB_X415JA,3
2808,0106,ASUF,g533,ROG Strix G16 G614JVR_G614JVR,3
04F3,3134,ASUE,up5401ea,ZenBook UX325SA_UM325SA,3
04F3,3134,ASUE,up5401ea,ZenBook UX425UAZ_UM425UAZ,3
04F3,31B9,ASUE,up5401ea,Zenbook UX5401ZAS_UX5401ZAS,3
04F3,31B9,ASUE,up5401ea,Zenbook UX5401ZA_UX5401ZA,3
04F3,3101,ASUE,ux581l,Zenbook Pro Duo UX582ZW_UX582ZW,3
04F3,3101,ELAN,ux581l,ZenBook Pro Duo UX582LR_UX582LR,3
04F3,32A2,ASUE,gx551,ROG Zephyrus Duo 16 GX650PY_GX650PY,3
04F3,30F2,ELAN,ux433fa,VivoBook_ASUSLaptop X420FA_F420FA,3
04F3,3145,ASUE,b7402,ASUS EXPERTBOOK B1400CEAEY_B1400CEAE,2
04F3,3230,ASUE,b7402,ASUS EXPERTBOOK B5402CVA_B5402CVA,2
04F3,3230,ASUE,b7402,ASUS EXPERTBOOK B5402FVA_B5402FVA,2
04F3,3287,ASUE,b7402,ASUS EXPERTBOOK B9403CVA_B9403CVA,2
04F3,3157,ASUE,e210ma,VivoBook_ASUS Laptop E210MA_R214MA,2
04F3,319A,ASUE,g533,ROG Strix G533QS_G533QS,2
04F3,3275,ASUE,g533,ROG Strix G16 G634JZR_G614JZR,2
2808,0106,ASUF,g533,ROG Strix G614JV_G614JV,2
04F3,31F7,ASUE,gx551,ROG Zephyrus Duo 16 GX650RS_GX650RS,2
04F3,31C1,ASUE,up5401ea,Zenbook UM3402YAR_UM3402YA,2
04F3,31C1,ASUE,up5401ea,Zenbook UX3402VA_UX3402VA,2
04F3,3134,ASUE,up5401ea,ZenBook UX325UA_UM325UA,2
04F3,31BC,ASUE,up5401ea,Vivobook_ASUSLaptop M3401QC_M3401QC,2
04F3,31BC,ASUE,up5401ea,Vivobook_ASUSLaptop TN3402YA_TN3402YA,2
093A,3F01,ASUP,up5401ea,Zenbook UX7602VI_UX7602VI,2
04F3,3145,ASUE,up5401ea,VivoBook_ASUSLaptop X421EAYB_S413EA,2
04F3,31B9,ASUE,up5401ea,Zenbook Flip UP5302ZA_UP5302ZA,2
04F3,31B9,ASUE,up5401ea,Zenbook UM3402YAR,2
04F3,31B9,ASUE,up5401ea,Zenbook UM5302LA_UM5302LA,2
04F3,31B9,ASUE,up5401ea,Zenbook UM5401RA_RM5401RA_BM5401RA UM5401RA_UM5401RA,2
04F3,3101,ASUE,ux581l,ZenBook Pro Duo UX582ZM_UX582ZM,2
04F3,3233,ASUE,ux581l,Zenbook UX8402VU_UX8402VU,2
04F3,30BA,ELAN,b7402,TUF Gaming FX505DY_FX505DY,2
04F3,30A7,ELAN,gx701,Zephyrus S GX531GS_GX531GS,2
04F3,3134,ASUE,up5401ea,ZenBook UX363EA_BX363EA,2
04F3,30F2,ELAN,ux433fa,VivoBook_ASUSLaptop X412DA_X412DA,2
04F3,30E5,ELAN,ux433fa,VivoBook 14_ASUS Laptop E406SAS,2
04F3,31F0,ASUE,b7402,Vivobook_ASUSLaptop M1402IA_M1402IA,1
04F3,32A0,ASUE,b7402,Zenbook UX6404VI_UX6404VI,1
04F3,3101,ELAN,b7402,ZenBook Pro Duo UX581GV_UX581GV,1
04F3,3101,ASUE,b7402,Zenbook Pro Duo UX582ZW_UX582ZW,1
04F3,31B9,ASUE,b7402,Zenbook UP5401EA_UP5401EA,1
04F3,32A0,ASUE,b7402,Zenbook UX6404VV_UX6404VV,1
2808,0205,ASUF,b7402,ASUS EXPERTBOOK B1502CGA_B1502CGA,1
04F3,316C,ELAN,b7402,HP ProBook 430 G8 Notebook PC,1
Elan Touchpad,,Elan Touchpad,b7402,X556UB,1
04F3,31F0,ASUE,b7402,Vivobook_ASUSLaptop X1402ZA_F1402ZA,1
04F3,3157,ASUE,e210ma,VivoBook_ASUS Laptop E410MA_L410MA,1
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop X415EA_X1400EA,1
04F3,3157,ASUE,e210ma,VivoBook_ASUSLaptop X415MA_F415MA,1
04F3,31BC,ASUE,e210ma,Vivobook_ASUSLaptop M3402RA_M3402RA,1
04F3,31F0,ASUE,e210ma,Vivobook_ASUSLaptop M1402IA_M1402IA,1
04F3,3289,ASUE,e210ma,Vivobook_ASUSLaptop X1404ZA_X1404ZA,1
04F3,3218,ASUE,e210ma,Vivobook_ASUSLaptop M1405YA_M1405YA,1
04F3,315E,ELAN,g513,ROG Strix G532LWS,1
04F3,319B,ASUE,g513,ROG Strix G513IC_G513IC,1
04F3,30DF,ELAN,g513,ROG Strix G531GU_G531GU,1
04F3,319A,ASUE,g533,ROG Strix G513QM_G513QM,1
04F3,319A,ASUE,g533,ROG Strix G513RS_G513RS,1
04F3,319A,ASUE,g533,ROG Strix G533ZW_G533ZW,1
04F3,319A,ASUE,g533,ROG Strix G533ZX_G533ZX,1
04F3,31B9,ASUE,g533,Zenbook UX3404VA_Q420VA,1
04F3,3275,ASUE,g533,ROG Strix G16 G614JVR_G614JVR,1
2808,0108,ASUF,g533,ROG Strix G614JZ_G614JZ,1
2808,0108,ASUF,g533,ROG Strix SCAR 16 G634JYR_G634JYR,1
04F3,309F,ELAN,gx551,VivoBook_ASUSLaptop X712DA_D712DA,1
04F3,30A7,ELAN,gx551,Zephyrus GX501GI,1
04F3,31F7,ASUE,gx551,ROG Zephyrus Duo 16 GX650RW_GX650RW,1
04F3,31F7,ASUE,gx701,ROG Zephyrus Duo 16 GX650RW_GX650RW,1
04F3,31C1,ASUE,up5401ea,Zenbook UP6502ZA_Q529ZA,1
04F3,3104,ASUE,up5401ea,Vivobook_ASUSLaptop X1502ZA_A1502ZA,1
04F3,3134,ASUE,up5401ea,ZenBook UX325UAZ_UM325UAZ,1
04F3,3134,ASUE,up5401ea,ZenBook UX363EA_UX371EA,1
04F3,3134,ASUE,up5401ea,ZenBook UX393EA_UX393EA,1
04F3,3134,ASUE,up5401ea,ZenBook UX393JA_UX393JA,1
04F3,3134,ASUE,up5401ea,ZenBook UX425EA,1
04F3,3134,ASUE,up5401ea,ZenBook UX425IA_UM425IA,1
04F3,3134,ASUE,up5401ea,Zenbook UX425QA_UM425QA,1
04F3,3173,ASUE,up5401ea,ZenBook UX435EAL_UX435EAL,1
04F3,31B9,ASUE,up5401ea,Zenbook UX3402ZA_Q409ZA,1
04F3,31BC,ASUE,up5401ea,Vivobook_ASUSLaptop TN3402QA_TN3402QA,1
